10;//width of map below
18;//height of map below
-3;-3;-3;-3;-3;-3;-3;-3;-3;-1
-3;-3;-3;-3;-3;-3;-3;-3;-3;-1
-3;-3;-3;-3;-2;-3;-3;-3;-3;-1
-3;-3;-3;-3;-2;-3;-3;-3;-3;-1
-1;-1;-1;-1; 3;-1;-1;-1;-1;-1
-3;-3;-3;-3;-2;-3;-3;-3;-3;-1
-3;-3;-3;-2;-0;-2;-3;-3;-3;-1
-3;-3;-3;-3;-3;-3;-3;-3;-3;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
 2;-1; 2;-1; 2;-1; 2;-1; 2;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
 2;-1; 2;-1; 2;-1; 2;-1; 2;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
 2;-1; 2;-1; 2;-1; 2;-1; 2;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
 2;-1; 2;-1; 2;-1; 2;-1; 2;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
 2;-1; 2;-1; 2;-1; 2;-1; 2;-1
end_of_file;

//areas will be placed in this order:
//-1 = no area here
//0 or above = area class number from areas.dat
//-2 = random area that must be here, make sure there are enough free areas to fill all
//-3 = random area that may be here, but only if any area is already adjacent to this square
